Early Voting Locations,Total,05/28/19,05/29/19,05/30/19,05/31/19,06/01/19,06/03/19,06/04/19,*06/08/19
Adams Elementary School,99,0,0,0,0,0,0,0,99
Adams Hill Elementary School,178,0,0,0,0,0,0,0,178
Adante Independent Living,301,0,0,0,0,0,0,0,301
Agnes Cotton Academy,324,0,0,0,0,0,0,0,324
Alamo Convocation Center,106,0,0,0,0,0,0,0,106
Alamo Heights United Methodist Church,213,0,0,0,0,0,0,0,213
Alan B. Shepard Middle School,91,0,0,0,0,0,0,0,91
Antonio Margil Elementary School,85,0,0,0,0,0,0,0,85
Artemisia Bowden Academy,153,0,0,0,0,0,0,0,153
Balcones Heights City Hall,56,0,0,0,0,0,0,0,56
Barkley-Ruiz Elementary School,93,0,0,0,0,0,0,0,93
Beacon Hill Academy,88,0,0,0,0,0,0,0,88
Beard Elementary School,286,0,0,0,0,0,0,0,286
Bella Cameron Elementary School,47,0,0,0,0,0,0,0,47
Bexar County Elections Department,1598,285,223,211,224,158,201,296,0
Bexar County Justice Center,1466,308,277,243,214,0,194,230,0
Blattman Elementary School,153,0,0,0,0,0,0,0,153
Blossom Athletic Center,95,0,0,0,0,0,0,0,95
Bob Hope Elementary School,86,0,0,0,0,0,0,0,86
Bode Community Center,126,0,0,0,0,0,0,0,126
Boone Elementary School,195,0,0,0,0,0,0,0,195
Brauchle Elementary School,135,0,0,0,0,0,0,0,135
Brentwood Steam School II,91,0,0,0,0,0,0,0,91
Brookhollow Branch Library,9491,1379,1397,1294,1269,1268,1189,1420,275
Bulverde Creek Elementary School,121,0,0,0,0,0,0,0,121
Burke Elementary School,103,0,0,0,0,0,0,0,103
Bush Middle School,212,0,0,0,0,0,0,0,212
Carlos Coon Elementary School,211,0,0,0,0,0,0,0,211
Carnahan Elementary School,225,0,0,0,0,0,0,0,225
Carson Elementary School,205,0,0,0,0,0,0,0,205
Central Library,206,0,0,0,0,0,0,0,206
Charles Graebner Elementary School,61,0,0,0,0,0,0,0,61
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0
Church of Reconciliation,185,0,0,0,0,0,0,0,185
Churchill High School,111,0,0,0,0,0,0,0,111
Clark High School,135,0,0,0,0,0,0,0,135
Claude Black Community Center,1077,178,164,153,141,97,144,200,0
Clear Spring Elementary School,50,0,0,0,0,0,0,0,50
Cody Branch Library,9095,1357,1391,1375,1206,1307,1073,1272,114
Cody Elementary School,166,0,0,0,0,0,0,0,166
Collier Elementary School,91,0,0,0,0,0,0,0,91
Collins Garden Branch Library,1000,154,129,121,152,104,109,167,64
Colonial Hills United Methodist Church,286,0,0,0,0,0,0,0,286
Colonies North Elementary School,201,0,0,0,0,0,0,0,201
Community Alliance Traffic,131,0,0,0,0,0,0,0,131
Connally Middle School,149,0,0,0,0,0,0,0,149
Copernicus Community Center,860,149,127,112,127,67,137,141,0
Crockett Academy,33,0,0,0,0,0,0,0,33
Davis-Scott Family YMCA,33,0,0,0,0,0,0,0,33
Dellview Elementary School,221,0,0,0,0,0,0,0,221
Dwight Middle School,34,0,0,0,0,0,0,0,34
E.T. Wrenn Middle School,63,0,0,0,0,0,0,0,63
East Terrell Hills Elementary Science Academy,123,0,0,0,0,0,0,0,123
Ed White Middle School,111,0,0,0,0,0,0,0,111
Edgewood Gym,65,0,0,0,0,0,0,0,65
El Dorado Elementary School,147,0,0,0,0,0,0,0,147
Ellison Elementary School,222,0,0,0,0,0,0,0,222
Eloise Japhet Academy,150,0,0,0,0,0,0,0,150
Elrod Elementary School,131,0,0,0,0,0,0,0,131
Encino Branch Library,2219,253,383,323,268,340,283,369,0
Encino Park Community Center,158,0,0,0,0,0,0,0,158
Esparza Elementary School,79,0,0,0,0,0,0,0,79
Evers Elementary School,202,0,0,0,0,0,0,0,202
Faith Lutheran Church,260,0,0,0,0,0,0,0,260
Fernandez Elementary School,150,0,0,0,0,0,0,0,150
First Chinese Baptist Church,252,0,0,0,0,0,0,0,252
Five Palms Elementary School,76,0,0,0,0,0,0,0,76
Fox Run Elementary School,172,0,0,0,0,0,0,0,172
Frank Madla Elementary School,69,0,0,0,0,0,0,0,69
Freedom Elementary School,5,0,0,0,0,0,0,0,5
Frontier Enterprises,128,0,0,0,0,0,0,0,128
Gallardo Elementary School,133,0,0,0,0,0,0,0,133
Gardendale Early Learning Center,83,0,0,0,0,0,0,0,83
Gillette Elementary School,87,0,0,0,0,0,0,0,87
Glenn Elementary School,102,0,0,0,0,0,0,0,102
Glenoaks Elementary School,97,0,0,0,0,0,0,0,97
Grace Bible Chapel,214,0,0,0,0,0,0,0,214
Great Northwest Branch Library,5481,863,789,678,734,705,662,857,193
Henry A. Guerra Jr. Library,2195,331,318,325,259,245,275,351,91
Gus Garcia University School,44,0,0,0,0,0,0,0,44
Hardy Oak Elementary School,164,0,0,0,0,0,0,0,164
Harlandale Community Center,70,0,0,0,0,0,0,0,70
Harmony Hills Elementary School,282,0,0,0,0,0,0,0,282
Harry H. Rogers Middle School,166,0,0,0,0,0,0,0,166
Hartman Center II - Building,343,0,0,0,0,0,0,0,343
Hatchett Elementary School,79,0,0,0,0,0,0,0,79
Health Careers High School,154,0,0,0,0,0,0,0,154
Hector Garcia Middle School,47,0,0,0,0,0,0,0,47
Henry Wadsworth Longfellow Middle School,104,0,0,0,0,0,0,0,104
Herman Hirsch Elementary School,98,0,0,0,0,0,0,0,98
Highland Hills Elementary School,105,0,0,0,0,0,0,0,105
Huebner Elementary School,425,0,0,0,0,0,0,0,425
Huisache Avenue Baptist Church,127,0,0,0,0,0,0,0,127
Hunters Creek Swim and Racquet Club,336,0,0,0,0,0,0,0,336
Huppertz Elementary School,119,0,0,0,0,0,0,0,119
Igo Branch Library,3982,570,507,548,524,571,528,620,114
Inez Foster Elementary School,134,0,0,0,0,0,0,0,134
James Russell Lowell Middle School,44,0,0,0,0,0,0,0,44
Jefferson High School,145,0,0,0,0,0,0,0,145
Joe Ward Recreation Center,256,0,0,0,0,0,0,0,256
John Greenleaf Whittier Middle School,92,0,0,0,0,0,0,0,92
John Marshall High School,89,0,0,0,0,0,0,0,89
Johnston Branch Library,1403,247,201,179,216,158,175,227,0
Kate Schenck Elementary School,101,0,0,0,0,0,0,0,101
Katherine Stinson Middle School,72,0,0,0,0,0,0,0,72
Kelly Elementary School,81,0,0,0,0,0,0,0,81
Kenwood Community Center,177,0,0,0,0,0,0,0,177
Kingsborough Middle School,102,0,0,0,0,0,0,0,102
Knowlton Elementary School,159,0,0,0,0,0,0,0,159
Krueger Middle School,112,0,0,0,0,0,0,0,112
Ladera Elementary School,0,0,0,0,0,0,0,0,0
Larkspur Elementary School,215,0,0,0,0,0,0,0,215
Las Lomas Elementary School,125,0,0,0,0,0,0,0,125
Las Palmas Branch Library,1820,333,281,246,224,161,224,276,75
Laurel Heights United Methodist Church,276,0,0,0,0,0,0,0,276
Leon Springs Elementary School,222,0,0,0,0,0,0,0,222
Lewis Elementary School,176,0,0,0,0,0,0,0,176
Linton Elementary School,109,0,0,0,0,0,0,0,109
Lion's Field Adult and Senior Center,5329,842,758,655,720,688,698,960,8
Longs Creek Elementary School,147,0,0,0,0,0,0,0,147
Lopez Middle School,214,0,0,0,0,0,0,0,214
Madison High School,229,0,0,0,0,0,0,0,229
Marin B. Fenwick Academy,95,0,0,0,0,0,0,0,95
Martin Luther King Jr. Academy,55,0,0,0,0,0,0,0,55
Mary Hull Elementary School,57,0,0,0,0,0,0,0,57
Maury Maverick Jr. Library,5539,889,875,750,685,679,662,780,219
May Elementary School,163,0,0,0,0,0,0,0,163
McCreless Branch Library,3067,513,479,413,370,352,352,521,67
Mead Elementary School,125,0,0,0,0,0,0,0,125
Meadow Village Elementary School,99,0,0,0,0,0,0,0,99
Memorial Branch Library,2585,390,366,332,335,289,337,459,77
Miguel Carrillo Jr. Elementary School,80,0,0,0,0,0,0,0,80
Mirabeau B. Lamar Elementary School,178,0,0,0,0,0,0,0,178
Mission Academy,137,0,0,0,0,0,0,0,137
Mission Branch Library,2218,352,339,323,277,255,300,372,0
Mount Calvary Lutheran Evangelical Church,238,0,0,0,0,0,0,0,238
Murnin Elementary School,187,0,0,0,0,0,0,0,187
Myers Elementary School,120,0,0,0,0,0,0,0,120
Neff Middle School,206,0,0,0,0,0,0,0,206
Nichols Elementary School,157,0,0,0,0,0,0,0,157
Northern Hills Elementary School,227,0,0,0,0,0,0,0,227
Northwest Church of Christ,93,0,0,0,0,0,0,0,93
Northwest Crossing Elementary School,121,0,0,0,0,0,0,0,121
Northwood Elementary School,186,0,0,0,0,0,0,0,186
Oak Hills Terrace Elementary School,202,0,0,0,0,0,0,0,202
Oak Meadow Elementary School,432,0,0,0,0,0,0,0,432
Ogden Elementary School,80,0,0,0,0,0,0,0,80
Ollie Perry Storm Elementary School,23,0,0,0,0,0,0,0,23
Olmos Elementary School,149,0,0,0,0,0,0,0,149
Palo Alto Elementary School,26,0,0,0,0,0,0,0,26
Park Village Blended Learning Academy,157,0,0,0,0,0,0,0,157
Parman Branch Library @ Stone Oak,3786,475,547,513,496,564,438,633,120
Paschall Elementary School,147,0,0,0,0,0,0,0,147
Pease Middle School,123,0,0,0,0,0,0,0,123
Pecan Valley Elementary School,105,0,0,0,0,0,0,0,105
Poe Middle School,56,0,0,0,0,0,0,0,56
Powell Elementary School,103,0,0,0,0,0,0,0,103
Pre-K Academy @ West Avenue,148,0,0,0,0,0,0,0,148
Precinct 1 Satellite Office,257,0,0,0,0,0,0,0,257
Raba Elementary School,208,0,0,0,0,0,0,0,208
Ramirez Community Center,127,0,0,0,0,0,0,0,127
Rawlinson Middle School,180,0,0,0,0,0,0,0,180
Rayburn Elementary School,92,0,0,0,0,0,0,0,92
Redland Oaks Elementary School,299,0,0,0,0,0,0,0,299
Regency Place Elementary School,310,0,0,0,0,0,0,0,310
Rhodes Elementary School,92,0,0,0,0,0,0,0,92
Ridgeview Elementary School,286,0,0,0,0,0,0,0,286
Riverside Park Elementary School,45,0,0,0,0,0,0,0,45
Roan Forest Elementary School,103,0,0,0,0,0,0,0,103
Royal Ridge Elementary School,195,0,0,0,0,0,0,0,195
Rudder Middle School,333,0,0,0,0,0,0,0,333
S.J. Davis Middle School,44,0,0,0,0,0,0,0,44
Sam Houston High School,30,0,0,0,0,0,0,0,30
Samuel A. Maverick Elementary School,87,0,0,0,0,0,0,0,87
San Antonio Housing Authority,266,0,0,0,0,0,0,0,266
San Antonio Shrine Auditorium,172,0,0,0,0,0,0,0,172
San Pedro Church of Christ,171,0,0,0,0,0,0,0,171
Sarah King Elementary School,62,0,0,0,0,0,0,0,62
Schaefer Branch Library,696,70,73,72,69,92,66,106,148
Scobee Elementary School,193,0,0,0,0,0,0,0,193
Julia Yates Semmes Library,5010,761,834,733,653,630,618,781,0
Shearer Hills Baptist Church,358,0,0,0,0,0,0,0,358
Shepherd King Lutheran Church,116,0,0,0,0,0,0,0,116
Sky Harbour Elementary School,70,0,0,0,0,0,0,0,70
Smith Elementary School,76,0,0,0,0,0,0,0,76
South Park Mall,1920,343,268,255,292,243,219,300,0
South San Antonio High School,137,0,0,0,0,0,0,0,137
Spicewood Park Elementary School,42,0,0,0,0,0,0,0,42
St. James Catholic Church,116,0,0,0,0,0,0,0,116
St. Leo the Great Catholic Church,100,0,0,0,0,0,0,0,100
St. Mark the Evangelist Catholic Church,234,0,0,0,0,0,0,0,234
Stafford Elementary Visual Performing Arts School,52,0,0,0,0,0,0,0,52
Stahl Elementary School,112,0,0,0,0,0,0,0,112
Steubing Ranch Elementary School,106,0,0,0,0,0,0,0,106
Stevenson Middle School,222,0,0,0,0,0,0,0,222
Stone Oak Elementary School,139,0,0,0,0,0,0,0,139
Sul Ross Middle School,86,0,0,0,0,0,0,0,86
Sydney Lanier High School,58,0,0,0,0,0,0,0,58
Tejeda Middle School,166,0,0,0,0,0,0,0,166
Thomas Edison High School,85,0,0,0,0,0,0,0,85
Thornton Elementary School,277,0,0,0,0,0,0,0,277
Thousand Oaks Elementary School,279,0,0,0,0,0,0,0,279
Thousand Oaks Library,111,0,0,0,0,0,0,0,111
Timberhill Villa Retirement,101,0,0,0,0,0,0,0,101
Tobin Branch Library @ Oakwell,4961,765,801,690,622,601,573,769,140
Travis Early College High School,99,0,0,0,0,0,0,0,99
Trinity United Methodist Church,108,0,0,0,0,0,0,0,108
University of Texas at San Antonio,963,194,162,131,116,98,98,164,0
Vale Middle School,139,0,0,0,0,0,0,0,139
Valley Hi Elementary School,117,0,0,0,0,0,0,0,117
Villarreal Elementary School,110,0,0,0,0,0,0,0,110
Vineyard Ranch Elementary School,345,0,0,0,0,0,0,0,345
Wanke Elementary School,179,0,0,0,0,0,0,0,179
Westfall Branch Library,156,0,0,0,0,0,0,0,156
Westminster Square Manor,132,0,0,0,0,0,0,0,132
Westwood Terrace Elementary School,108,0,0,0,0,0,0,0,108
Wetmore Elementary School,419,0,0,0,0,0,0,0,419
William P. Hobby Middle School,58,0,0,0,0,0,0,0,58
Wilshire Elementary School,69,0,0,0,0,0,0,0,69
Wonderland Mall of the Americas,5744,918,868,774,655,829,732,968,0
Wood Middle School,109,0,0,0,0,0,0,0,109
Woodlawn Academy,194,0,0,0,0,0,0,0,194
Woodlawn Hills Elementary School,68,0,0,0,0,0,0,0,68
Woodridge Elementary School,290,0,0,0,0,0,0,0,290
Woods of Shavano Community Club,386,0,0,0,0,0,0,0,386
Woodstone Elementary Science Academy,170,0,0,0,0,0,0,0,170
Wright Elementary School,81,0,0,0,0,0,0,0,81
Young Men's Leadership Academy,59,0,0,0,0,0,0,0,59
Young Women's Leadership Academy,172,0,0,0,0,0,0,0,172
Zachry Middle School,122,0,0,0,0,0,0,0,122
Total in Person,113455,12033,11798,10716,10021,9896,9600,12430,36961