Early Voting Locations,Total,04/22/19,04/23/19,04/24/19,04/25/19,04/27/19,04/29/19,04/30/19,*05/04/19
Adams Elementary School,130,0,0,0,0,0,0,0,130
Adams Hill Elementary School,156,0,0,0,0,0,0,0,156
Adante Independent Living,329,0,0,0,0,0,0,0,329
Agnes Cotton Academy,358,0,0,0,0,0,0,0,358
Alamo Convocation Center,136,0,0,0,0,0,0,0,136
Alamo Heights City Hall,397,0,0,0,0,0,0,0,397
Alamo Heights United Methodist Church,278,0,0,0,0,0,0,0,278
Alan B. Shepard Middle School,81,0,0,0,0,0,0,0,81
Antonio Margil Elementary School,91,0,0,0,0,0,0,0,91
Artemisia Bowden Academy,194,0,0,0,0,0,0,0,194
Balcones Heights City Hall,180,0,0,0,0,0,0,0,180
Barkley-Ruiz Elementary School,116,0,0,0,0,0,0,0,116
Beard Elementary School,273,0,0,0,0,0,0,0,273
Beacon Hill Academy,109,0,0,0,0,0,0,0,109
Behlau Elementary School,424,0,0,0,0,0,0,0,424
Bella Cameron Elementary School,60,0,0,0,0,0,0,0,60
Bexar County Elections Department,1051,95,88,76,117,86,189,400,0
Bexar County Justice Center,1037,148,137,91,158,0,163,340,0
Big Country Elementary School,614,0,0,0,0,0,0,0,614
Blessed Sacrament Catholic Church,202,0,0,0,0,0,0,0,202
Blattman Elementary School,127,0,0,0,0,0,0,0,127
Blossom Athletic Center,108,0,0,0,0,0,0,0,108
Bob Hope Elementary School,99,0,0,0,0,0,0,0,99
Bode Community Center,172,0,0,0,0,0,0,0,172
Bonham Academy,157,0,0,0,0,0,0,0,157
Boone Elementary School,186,0,0,0,0,0,0,0,186
Bradley Middle School,115,0,0,0,0,0,0,0,115
Brandeis High School,503,0,0,0,0,0,0,0,503
Brauchle Elementary School,132,0,0,0,0,0,0,0,132
Brentwood Steam School II,85,0,0,0,0,0,0,0,85
Brookhollow Branch Library,6250,517,659,456,694,842,1146,1618,318
Bulverde Creek Elementary School,161,0,0,0,0,0,0,0,161
Burke Elementary School,106,0,0,0,0,0,0,0,106
Bush Middle School,257,0,0,0,0,0,0,0,257
Candlewood Elementary School,285,0,0,0,0,0,0,0,285
Carnahan Elementary School,215,0,0,0,0,0,0,0,215
Carlos Coon Elementary School,203,0,0,0,0,0,0,0,203
Carson Elementary School,253,0,0,0,0,0,0,0,253
Castle Hills City Hall,2647,192,226,174,259,325,411,721,339
Central Library,232,0,0,0,0,0,0,0,232
Charles Clyde Ball Academy,42,0,0,0,0,0,0,0,42
Charles Graebner Elementary School,82,0,0,0,0,0,0,0,82
China Grove City Hall,122,0,0,0,0,0,0,0,122
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0
Church of Reconciliation,209,0,0,0,0,0,0,0,209
Churchill High School,118,0,0,0,0,0,0,0,118
Cibolo Green Elementary School,31,0,0,0,0,0,0,0,31
Olmos Park City Hall,126,0,0,0,0,0,0,0,126
Clark High School,131,0,0,0,0,0,0,0,131
Claude Black Community Center,1264,93,99,38,129,87,170,319,329
Clear Spring Elementary School,50,0,0,0,0,0,0,0,50
Cleto L. Rodriguez Elementary School,40,0,0,0,0,0,0,0,40
Cody Branch Library,4189,420,422,281,483,575,730,1129,149
Cody Elementary School,127,0,0,0,0,0,0,0,127
Cole Elementary School,24,0,0,0,0,0,0,0,24
Colby Glass Elementary School,176,0,0,0,0,0,0,0,176
Collier Elementary School,139,0,0,0,0,0,0,0,139
Collins Garden Branch Library,830,71,77,43,86,79,121,278,75
Colonial Hills United Methodist Church,342,0,0,0,0,0,0,0,342
Colonies North Elementary School,172,0,0,0,0,0,0,0,172
Community Alliance Traffic,104,0,0,0,0,0,0,0,104
Connally Middle School,160,0,0,0,0,0,0,0,160
Old Converse City Hall,10,0,0,0,0,0,0,0,10
Copernicus Community Center,755,74,71,48,112,59,142,249,0
Coronado Village Elementary School,26,0,0,0,0,0,0,0,26
Cortez Branch Library,0,0,0,0,0,0,0,0,0
Crestview Elementary School,15,0,0,0,0,0,0,0,15
Crockett Academy,41,0,0,0,0,0,0,0,41
Davis-Scott Family YMCA,35,0,0,0,0,0,0,0,35
Dellview Elementary School,214,0,0,0,0,0,0,0,214
Dwight Middle School,39,0,0,0,0,0,0,0,39
East Central High School,166,0,0,0,0,0,0,0,166
East Terrell Hills Elementary Science Academy,116,0,0,0,0,0,0,0,116
Ed Franz Elementary School,47,0,0,0,0,0,0,0,47
Ed White Middle School,90,0,0,0,0,0,0,0,90
Edgewood Gym,41,0,0,0,0,0,0,0,41
E.T. Wrenn Middle School,54,0,0,0,0,0,0,0,54
El Dorado Elementary School,161,0,0,0,0,0,0,0,161
Ellison Elementary School,206,0,0,0,0,0,0,0,206
Elmendorf City Hall,87,7,8,2,2,19,7,42,0
Eloise Japhet Academy,159,0,0,0,0,0,0,0,159
Elolf Steam Academy,31,0,0,0,0,0,0,0,31
Elrod Elementary School,114,0,0,0,0,0,0,0,114
Encino Branch Library,2237,146,136,158,191,246,253,429,678
Evers Elementary School,198,0,0,0,0,0,0,0,198
Esparza Elementary School,78,0,0,0,0,0,0,0,78
Fair Oaks Ranch City Hall,437,0,0,0,0,0,0,0,437
Faith Lutheran Church,344,0,0,0,0,0,0,0,344
Fernandez Elementary School,164,0,0,0,0,0,0,0,164
Fields Elementary School,14,0,0,0,0,0,0,0,14
Fire Station #3,627,0,0,0,0,0,0,0,627
First Baptist Church of Leon Springs,212,0,0,0,0,0,0,0,212
First Chinese Baptist Church,234,0,0,0,0,0,0,0,234
Five Palms Elementary School,75,0,0,0,0,0,0,0,75
Fox Run Elementary School,164,0,0,0,0,0,0,0,164
Fox Tech High School,42,0,0,0,0,0,0,0,42
Frank Garrett Multi Service Center,0,0,0,0,0,0,0,0,0
Frank Madla Elementary School,77,0,0,0,0,0,0,0,77
Freedom Elementary School,74,0,0,0,0,0,0,0,74
Frontier Enterprises,143,0,0,0,0,0,0,0,143
Galm Elementary School,57,0,0,0,0,0,0,0,57
Gallardo Elementary School,158,0,0,0,0,0,0,0,158
Gardendale Early Learning Center,54,0,0,0,0,0,0,0,54
Gillette Elementary School,89,0,0,0,0,0,0,0,89
Glenn Elementary School,104,0,0,0,0,0,0,0,104
Glenoaks Elementary School,107,0,0,0,0,0,0,0,107
Grace Bible Chapel,223,0,0,0,0,0,0,0,223
Granados Adult and Senior Center,173,0,0,0,0,0,0,0,173
Great Northwest Branch Library,3666,376,404,253,443,471,549,941,229
Grey Forest Community Center,10,0,0,0,0,0,0,0,10
Henry A. Guerra Jr. Library,1422,134,141,99,174,174,201,419,40
Gus Garcia University School,53,0,0,0,0,0,0,0,53
Harlandale Civic Center,0,0,0,0,0,0,0,0,0
Harlandale Community Center,79,0,0,0,0,0,0,0,79
Harmony Elementary School,269,0,0,0,0,0,0,0,269
Harmony Hills Elementary School,305,0,0,0,0,0,0,0,305
Harry H. Rogers Middle School,191,0,0,0,0,0,0,0,191
Hartman Center II - Building,388,0,0,0,0,0,0,0,388
Hatchett Elementary School,92,0,0,0,0,0,0,0,92
Hardy Oak Elementary School,149,0,0,0,0,0,0,0,149
Healing Place Church,254,0,0,0,0,0,0,0,254
Health Careers High School,114,0,0,0,0,0,0,0,114
Hector Garcia Middle School,56,0,0,0,0,0,0,0,56
Helotes City Hall,177,17,26,13,12,10,20,47,32
Helotes Elementary School,148,0,0,0,0,0,0,0,148
Henderson Elementary School,509,0,0,0,0,0,0,0,509
Henry Wadsworth Longfellow Middle School,141,0,0,0,0,0,0,0,141
Herman Hirsch Elementary School,138,0,0,0,0,0,0,0,138
Hidden Forest Elementary School,138,0,0,0,0,0,0,0,138
Highland Hills Elementary School,162,0,0,0,0,0,0,0,162
Highlands High School,146,0,0,0,0,0,0,0,146
Hill Country Retreat,114,0,0,0,0,0,0,0,114
Hill Country Village City Hall,238,0,0,0,0,0,0,0,238
Hill Middle School,191,0,0,0,0,0,0,0,191
Hollywood Park City Hall,310,0,0,0,0,0,0,0,310
Hope Church,656,0,0,0,0,0,0,0,656
Howard Early Childhood Center,55,0,0,0,0,0,0,0,55
Huebner Elementary School,470,0,0,0,0,0,0,0,470
Huisache Avenue Baptist Church,188,0,0,0,0,0,0,0,188
Hunters Creek Swim and Racquet Club,428,0,0,0,0,0,0,0,428
Huppertz Elementary School,114,0,0,0,0,0,0,0,114
Igo Branch Library,2614,217,234,166,267,448,464,705,113
Indian Springs Elementary School,295,0,0,0,0,0,0,0,295
Inez Foster Elementary School,96,0,0,0,0,0,0,0,96
James Russell Lowell Middle School,56,0,0,0,0,0,0,0,56
Jefferson High School,179,0,0,0,0,0,0,0,179
Joe Ward Recreation Center,294,0,0,0,0,0,0,0,294
John Greenleaf Whittier Middle School,110,0,0,0,0,0,0,0,110
John Hoffmann Elementary School,30,0,0,0,0,0,0,0,30
John Marshall High School,137,0,0,0,0,0,0,0,137
Johnston Branch Library,1309,109,102,68,128,142,166,310,284
Judson ISD ERC,130,0,0,0,0,0,0,0,130
Judson ISD PAC,452,0,0,0,0,0,0,0,452
Judson Middle School,65,0,0,0,0,0,0,0,65
Julia Yates Semmes Library,3601,293,443,279,377,512,625,1072,0
Kallison Elementary School,751,0,0,0,0,0,0,0,751
Kate Schenck Elementary School,127,0,0,0,0,0,0,0,127
Katherine Stinson Middle School,62,0,0,0,0,0,0,0,62
Kelly Elementary School,71,0,0,0,0,0,0,0,71
Kenwood Community Center,184,0,0,0,0,0,0,0,184
Kinder Ranch Elementary School,824,0,0,0,0,0,0,0,824
Kingsborough Middle School,104,0,0,0,0,0,0,0,104
Kirby City Hall,302,28,17,16,41,36,35,76,53
Kitty Hawk Middle School,575,0,0,0,0,0,0,0,575
Knowlton Elementary School,128,0,0,0,0,0,0,0,128
Krueger Middle School,121,0,0,0,0,0,0,0,121
Krueger Elementary School,447,0,0,0,0,0,0,0,447
Langley Elementary School,28,0,0,0,0,0,0,0,28
Larkspur Elementary School,193,0,0,0,0,0,0,0,193
Las Lomas Elementary School,133,0,0,0,0,0,0,0,133
Las Palmas Branch Library,1535,201,153,92,165,153,253,470,48
Laurel Heights United Methodist Church,331,0,0,0,0,0,0,0,331
Leon Valley Conference Center,2363,180,198,114,219,259,295,520,578
Leon Valley City Hall,95,0,0,0,0,0,0,0,95
Leon Springs Elementary School,202,0,0,0,0,0,0,0,202
Lewis Elementary School,184,0,0,0,0,0,0,0,184
Lieck Elementary School,32,0,0,0,0,0,0,0,32
Linton Elementary School,87,0,0,0,0,0,0,0,87
Lion's Field Adult and Senior Center,2547,276,265,187,296,158,444,867,54
Living Church at Woodlawn,93,0,0,0,0,0,0,0,93
Loma Park Elementary School,101,0,0,0,0,0,0,0,101
Longs Creek Elementary School,121,0,0,0,0,0,0,0,121
Lopez Middle School,248,0,0,0,0,0,0,0,248
Luther Burbank High School,44,0,0,0,0,0,0,0,44
Madison High School,233,0,0,0,0,0,0,0,233
Marin B. Fenwick Academy,113,0,0,0,0,0,0,0,113
Martin Luther King Jr. Academy,72,0,0,0,0,0,0,0,72
Mary Hull Elementary School,56,0,0,0,0,0,0,0,56
Maury Maverick Jr. Library,4146,440,515,320,461,555,642,962,251
May Elementary School,157,0,0,0,0,0,0,0,157
McCreless Branch Library,2393,224,255,172,259,243,431,753,56
McDermott Elementary School,29,0,0,0,0,0,0,0,29
Mead Elementary School,143,0,0,0,0,0,0,0,143
Meadow Village Elementary School,87,0,0,0,0,0,0,0,87
Meadowcliff Recreation Center,45,0,0,0,0,0,0,0,45
Memorial Branch Library,1548,124,137,122,165,148,265,498,89
Metzger Middle School,33,0,0,0,0,0,0,0,33
Michael Elementary School,52,0,0,0,0,0,0,0,52
Miguel Carrillo Jr. Elementary School,93,0,0,0,0,0,0,0,93
Millers Point Elementary School,17,0,0,0,0,0,0,0,17
Mireles Elementary School,41,0,0,0,0,0,0,0,41
Mirabeau B. Lamar Elementary School,213,0,0,0,0,0,0,0,213
Mission Academy,148,0,0,0,0,0,0,0,148
Mission Branch Library,1536,171,168,109,183,157,251,497,0
Mission Del Lago Community Center,242,0,0,0,0,0,0,0,242
Montgomery Elementary School,468,0,0,0,0,0,0,0,468
Mora Elementary School,19,0,0,0,0,0,0,0,19
Mount Calvary Lutheran Evangelical Church,297,0,0,0,0,0,0,0,297
Murnin Elementary School,159,0,0,0,0,0,0,0,159
Myers Elementary School,114,0,0,0,0,0,0,0,114
Neff Middle School,185,0,0,0,0,0,0,0,185
Nichols Elementary School,149,0,0,0,0,0,0,0,149
Northeast Lakeview College,282,0,0,0,0,0,0,0,282
Northern Hills Elementary School,239,0,0,0,0,0,0,0,239
Northside Activity Center,2069,157,181,148,183,206,254,498,442
Northwest Church of Christ,62,0,0,0,0,0,0,0,62
Northwest Crossing Elementary School,137,0,0,0,0,0,0,0,137
Northwest Vista College,888,51,38,37,50,51,54,182,425
Northwood Elementary School,251,0,0,0,0,0,0,0,251
Oak Grove Elementary School,232,0,0,0,0,0,0,0,232
Oak Hills Terrace Elementary School,172,0,0,0,0,0,0,0,172
Oak Meadow Elementary School,429,0,0,0,0,0,0,0,429
Oak Meadow United Methodist Church,243,0,0,0,0,0,0,0,243
Ogden Elementary School,118,0,0,0,0,0,0,0,118
Old Converse City Hall,10,0,0,0,0,0,0,0,10
Ollie Perry Storm Elementary School,50,0,0,0,0,0,0,0,50
Olmos Elementary School,148,0,0,0,0,0,0,0,148
Olmos Park City Hall,1471,151,148,87,128,130,217,484,126
Olympia Elementary School,57,0,0,0,0,0,0,0,57
Olympia Hills Golf Club,302,0,0,0,0,0,0,0,302
Ott Elementary School,30,0,0,0,0,0,0,0,30
Our Lady of the Lake University,172,0,0,0,0,0,0,0,172
Palo Alto College,31,0,0,0,0,0,0,0,31
Palo Alto Elementary School,31,0,0,0,0,0,0,0,31
Park Village Blended Learning Academy,108,0,0,0,0,0,0,0,108
Parman Branch Library @ Stone Oak,2409,165,241,141,231,381,420,667,163
Paschall Elementary School,78,0,0,0,0,0,0,0,78
Pease Middle School,124,0,0,0,0,0,0,0,124
Pecan Valley Elementary School,144,0,0,0,0,0,0,0,144
Perales Steam Elementary School,34,0,0,0,0,0,0,0,34
Pieper Ranch Middle School,207,0,0,0,0,0,0,0,207
Poe Middle School,75,0,0,0,0,0,0,0,75
Powell Elementary School,84,0,0,0,0,0,0,0,84
Precinct 1 Satellite Office,1268,115,128,82,127,82,167,330,237
Precinct 3 Satellite Office,262,0,0,0,0,0,0,0,262
Pre-K Academy @ West Avenue,127,0,0,0,0,0,0,0,127
Raba Elementary School,185,0,0,0,0,0,0,0,185
Ramirez Community Center,106,0,0,0,0,0,0,0,106
Rawlinson Middle School,186,0,0,0,0,0,0,0,186
Ray D. Corbett Jr. High School,218,0,0,0,0,0,0,0,218
Rayburn Elementary School,107,0,0,0,0,0,0,0,107
Redland Oaks Elementary School,352,0,0,0,0,0,0,0,352
Regency Place Elementary School,372,0,0,0,0,0,0,0,372
Rhodes Elementary School,95,0,0,0,0,0,0,0,95
Ridgeview Elementary School,270,0,0,0,0,0,0,0,270
Riverside Park Elementary School,63,0,0,0,0,0,0,0,63
Roan Forest Elementary School,116,0,0,0,0,0,0,0,116
Rosewood Rehabilitation & Healthcare,30,0,0,0,0,0,0,0,30
Royal Ridge Elementary School,170,0,0,0,0,0,0,0,170
Rudder Middle School,303,0,0,0,0,0,0,0,303
S.J. Davis Middle School,76,0,0,0,0,0,0,0,76
San Antonio College,230,0,0,0,0,0,0,0,230
Salinas Elementary School,26,0,0,0,0,0,0,0,26
Sam Houston High School,37,0,0,0,0,0,0,0,37
Samuel A. Maverick Elementary School,77,0,0,0,0,0,0,0,77
San Antonio College,929,104,81,59,77,80,166,362,0
San Antonio Housing Authority,309,0,0,0,0,0,0,0,309
San Antonio M.U.D. #1,162,0,0,0,0,0,0,0,162
San Antonio Shrine Auditorium,191,0,0,0,0,0,0,0,191
San Pedro Church of Christ,200,0,0,0,0,0,0,0,200
Sarah King Elementary School,75,0,0,0,0,0,0,0,75
Scarborough Elementary School,82,0,0,0,0,0,0,0,82
Schaefer Branch Library,521,16,29,27,31,39,69,145,165
Scobee Elementary School,178,0,0,0,0,0,0,0,178
Julia Yates Semmes Library,803,0,0,0,0,0,0,0,803
Shavano Park City Hall,2768,251,277,195,304,388,495,802,56
Shearer Hills Baptist Church,495,0,0,0,0,0,0,0,495
Shepherd King Lutheran Church,111,0,0,0,0,0,0,0,111
Sky Harbour Elementary School,77,0,0,0,0,0,0,0,77
Smith Elementary School,84,0,0,0,0,0,0,0,84
Somerset City Hall,182,7,7,5,15,23,22,27,76
Sonny Melendrez Community Center,78,0,0,0,0,0,0,0,78
South Park Mall,1344,120,186,112,161,164,224,377,0
South San Antonio High School,135,0,0,0,0,0,0,0,135
Southside ISD Admin. Bldg.,455,40,41,19,39,25,61,105,125
Specht Elementary School,435,0,0,0,0,0,0,0,435
Spicewood Park Elementary School,42,0,0,0,0,0,0,0,42
Spring Meadows Elementary School,39,0,0,0,0,0,0,0,39
St. Hedwig City Hall,225,0,0,0,0,0,0,0,225
St. James Catholic Church,77,0,0,0,0,0,0,0,77
St. Leo the Great Catholic Church,87,0,0,0,0,0,0,0,87
St. Leonard Catholic Church,216,0,0,0,0,0,0,0,216
St. Mark the Evangelist Catholic Church,307,0,0,0,0,0,0,0,307
St. Mary's University,210,0,0,0,0,0,0,0,210
St. Paul Community Center,257,0,0,0,0,0,0,0,257
St. Philip of Jesus Catholic Church,77,0,0,0,0,0,0,0,77
Stafford Elementary Visual Performing Arts School,59,0,0,0,0,0,0,0,59
Stahl Elementary School,134,0,0,0,0,0,0,0,134
Steubing Ranch Elementary School,118,0,0,0,0,0,0,0,118
Stevenson Middle School,279,0,0,0,0,0,0,0,279
Stone Oak Elementary School,145,0,0,0,0,0,0,0,145
Sul Ross Middle School,106,0,0,0,0,0,0,0,106
Sydney Lanier High School,86,0,0,0,0,0,0,0,86
Taft High School,304,0,0,0,0,0,0,0,304
Takas Park,519,0,0,0,0,0,0,0,519
Tejeda Middle School,253,0,0,0,0,0,0,0,253
Terrell Hills City Hall,58,0,0,0,0,0,0,0,58
Texas A&M University San Antonio,194,0,0,0,0,0,0,0,194
Thomas Edison High School,108,0,0,0,0,0,0,0,108
Thornton Elementary School,228,0,0,0,0,0,0,0,228
Thousand Oaks Elementary School,264,0,0,0,0,0,0,0,264
Thousand Oaks Library,123,0,0,0,0,0,0,0,123
Timberhill Villa Retirement,84,0,0,0,0,0,0,0,84
Timberwood Park Elementary School,326,0,0,0,0,0,0,0,326
Tobin Branch Library @ Oakwell,4100,269,334,249,364,363,529,920,1072
Travis Early College High School,129,0,0,0,0,0,0,0,129
Trinity United Methodist Church,104,0,0,0,0,0,0,0,104
Tuscany Heights Elementary School,298,0,0,0,0,0,0,0,298
Universal City Hall,81,0,0,0,0,0,0,0,81
Universal City Library,713,63,73,54,72,104,74,164,109
University of Texas at San Antonio,1432,92,89,48,105,49,103,251,695
Vale Middle School,133,0,0,0,0,0,0,0,133
Valley Hi Elementary School,149,0,0,0,0,0,0,0,149
Van Raub Elementary School,637,0,0,0,0,0,0,0,637
Veterans Memorial High School,294,0,0,0,0,0,0,0,294
Vestal Elementary School,42,0,0,0,0,0,0,0,42
Villarreal Elementary School,188,0,0,0,0,0,0,0,188
Vineyard Ranch Elementary School,392,0,0,0,0,0,0,0,392
Von Ormy Municipal Building,114,0,0,0,0,0,0,0,114
Wanke Elementary School,174,0,0,0,0,0,0,0,174
Ward Elementary School,35,0,0,0,0,0,0,0,35
Westfall Branch Library,174,0,0,0,0,0,0,0,174
Westminster Square Manor,160,0,0,0,0,0,0,0,160
Westwood Terrace Elementary School,118,0,0,0,0,0,0,0,118
Wetmore Elementary School,387,0,0,0,0,0,0,0,387
Wilshire Elementary School,94,0,0,0,0,0,0,0,94
Windcrest Takas Park,670,48,63,53,65,86,127,228,0
Wonderland Mall of the Americas,3594,359,385,297,397,445,643,1068,0
Wood Middle School,98,0,0,0,0,0,0,0,98
Woodlake Elementary School,48,0,0,0,0,0,0,0,48
Woodlake Hills Middle School,55,0,0,0,0,0,0,0,55
Woodlawn Academy,248,0,0,0,0,0,0,0,248
Woodlawn Hills Elementary School,66,0,0,0,0,0,0,0,66
Woodridge Elementary School,336,0,0,0,0,0,0,0,336
Woods of Shavano Community Club,323,0,0,0,0,0,0,0,323
Woodstone Elementary Science Academy,186,0,0,0,0,0,0,0,186
Wortham Oaks Elementary School,178,0,0,0,0,0,0,0,178
Wright Elementary School,119,0,0,0,0,0,0,0,119
Young Women's Leadership Academy,224,0,0,0,0,0,0,0,224
Zachry Middle School,170,0,0,0,0,0,0,0,170
Total in Person,104134,10009,10933,8080,10881,11825,14888,24234,13284
